id,neighbourhood_group,room_type,price,minimum_nights,reviews_per_month,calculated_host_listings_count,availability_365
2539,10,1,149,1,1.81,4,188
2595,20,2,225,6,0.09,1,363
3647,20,1,150,7,1.31,2,0
3831,10,2,89,3,4.6,1,248
5022,20,2,80,1,,1,0
5099,20,2,200,30,0.14,1,0
5121,10,1,60,1,0.11,2,364
5178,20,1,79,1,5.27,1,353
5203,20,1,79,1,0.71,2,0
5238,20,2,150,2,1.91,3,324
5295,20,2,135,2,0.16,1,0
5441,20,1,85,4,0.37,1,0
5803,10,1,89,2,0.98,1,364
6021,20,1,85,5,0.08,1,0
6090,20,2,120,3,0.44,2,88
6848,10,2,140,1,,1,365
7097,10,2,215,2,0.17,1,0
7322,20,1,140,2,1.5,1,313
7726,10,2,99,1,0.4,1,364
7750,20,2,190,2,2.11,1,325
7801,10,2,299,3,0.2,1,365
8024,10,1,130,3,0.36,1,34
8025,10,1,80,5,1.18,3,248
8110,10,1,110,2,1.53,1,303
8490,10,2,120,1,0.61,1,9
8505,10,1,60,1,1.67,4,55
8700,20,1,80,7,,1,362
9357,20,2,150,1,0.89,1,365
9518,20,1,44,1,,1,0
9657,20,2,180,5,1.49,4,0
9668,20,1,50,3,0.29,1,363
9704,20,1,52,5,1.66,4,0
9782,10,1,55,2,0.07,1,321
9783,20,1,50,2,,1,365
10452,10,1,70,2,2.22,1,21
10962,10,1,89,1,2.13,4,103
11452,10,1,35,3,0.56,1,157
11708,10,2,85,1,0.48,3,75
11943,10,1,150,1,3.04,1,326
12048,20,3,40,5,0.91,5,19
12192,20,1,68,3,3.36,2,312
12299,10,2,120,1,0.1,1,0
12303,10,1,120,2,0.25,1,0
12318,20,1,135,1,,1,0
12343,20,2,150,1,2.21,1,0
12627,10,2,150,30,1.88,1,304
12937,40,1,130,1,,1,0
12940,10,2,110,1,,1,0
13050,10,2,115,2,0.16,1,83
13394,10,1,80,5,0.52,2,288
13808,10,1,80,5,1.22,3,258
14287,20,2,151,1,1.46,1,0
14290,10,2,228,2,,1,0
14314,10,2,144,1,0.2,1,0
14322,20,2,200,4,0.19,2,0
14377,10,2,150,1,,2,0
14991,20,1,110,5,0.13,1,0
15220,20,1,69,2,1.03,4,171
15338,10,1,49,7,0.16,1,365
15341,20,2,180,1,3.53,1,262
15385,10,1,80,1,0.02,1,0
15396,20,2,375,1,0.15,1,90
15711,20,2,250,1,0.13,1,180
16326,10,2,200,2,2.22,1,15
16338,10,1,55,2,0.21,1,0
16421,20,1,52,1,,2,0
16458,10,2,225,1,0.81,1,362
16580,20,1,80,1,0.53,1,365
16595,10,2,275,2,1.6,2,38
16821,20,1,99,1,0.27,1,365
16974,20,2,225,2,,1,363
17037,20,2,230,2,0.12,1,0
17092,20,1,51,1,0.21,1,0
17693,20,1,65,1,0.1,1,315
17747,10,1,105,1,0.14,2,0
18127,20,2,190,2,0.99,1,345
18152,20,1,200,1,0.56,1,0
18198,40,1,70,1,1.39,1,319
18590,10,1,95,1,1.53,4,197
18728,20,1,150,1,,1,0
18764,10,1,145,1,0.02,1,0
19159,20,2,110,2,0.37,3,339
19169,20,2,285,1,0.14,7,365
19282,10,2,130,2,0.07,1,0
19319,20,1,94,2,2.61,1,309
19601,10,2,800,1,,1,59
19812,10,2,105,2,1.4,2,336
20299,20,1,60,1,,1,0
20300,20,1,50,10,0.38,4,0
20611,10,1,85,1,0.08,1,0
20724,10,1,65,1,0.54,1,364
20734,10,2,131,1,,1,0
20755,10,1,98,2,2.48,2,66
20853,10,2,250,4,0.11,2,1
20913,10,2,100,4,0.87,5,0
21293,10,2,105,1,,1,0
21456,20,2,140,1,0.62,1,357
21644,20,1,89,1,,1,0
21794,20,1,98,1,,1,89
22911,10,2,125,1,0.93,1,353
22918,20,1,60,2,0.04,1,0
23135,10,2,175,1,0.15,1,0
23501,20,1,65,3,0.74,1,178
23686,20,2,500,2,0.24,2,89
24143,10,1,101,3,2.09,1,302
24285,10,2,220,1,3.49,2,46
25235,10,2,125,1,,1,0
25406,10,2,80,2,0.04,2,0
25696,20,1,100,1,0.55,2,84
26012,10,2,200,5,0.08,1,0
26362,20,1,59,2,1.13,3,311
26520,10,1,125,1,2.26,1,347
26559,20,2,140,1,0.02,1,0
26785,10,2,120,1,4.63,2,56
26933,20,2,350,2,0.9,1,325
26954,20,2,199,1,3.03,1,27
26969,10,2,325,1,,1,0
27006,20,2,235,1,0.04,2,0
27385,20,2,225,5,0.54,2,0
27531,10,1,99,5,,1,0
27644,20,2,170,1,0.19,5,365
27659,10,2,400,1,,1,365
27759,20,2,170,1,0.5,3,358
27883,20,2,100,30,0.02,1,0
28321,10,1,75,1,,1,365
28396,10,1,90,7,,1,0
28907,20,2,150,1,0.02,2,0
29012,20,1,85,1,,1,0
29013,10,1,70,2,2.07,2,42
29455,20,2,120,2,2.11,3,288
29628,10,1,89,1,0.04,1,0
29683,20,2,185,2,0.04,1,0
30031,10,1,50,1,,1,0
30927,20,2,105,1,1.53,2,365
31130,20,1,130,1,0.3,1,363
31555,20,2,115,14,0.25,28,201
31902,10,1,77,1,0.37,13,318
31994,10,1,76,1,,1,0
32023,10,2,125,2,0.15,2,0
32037,10,1,135,1,1.26,1,90
32100,10,2,250,5,1.56,2,0
32289,10,2,199,120,,1,0
32331,10,2,140,1,2.88,11,306
32363,40,1,140,5,0.69,3,0
32965,10,2,115,1,0.02,1,0
32969,10,2,160,2,0.15,1,238
33009,10,2,195,1,2.94,5,342
33014,20,2,195,1,2.91,5,351
33223,10,1,80,1,0.02,1,0
34760,10,1,44,1,,1,364
35526,20,1,156,1,0.11,5,365
36121,10,1,85,1,0.17,1,0
36133,10,1,125,1,0.02,1,363
36442,10,2,115,8,0.89,4,53
36647,20,1,69,10,,2,0
36703,20,2,225,1,2.26,1,333
36934,10,2,125,30,0.07,7,360
38638,20,2,219,15,,2,0
38663,10,2,475,1,0.17,1,0
39267,20,2,99,1,0.76,4,362
39282,10,1,69,1,2.55,5,351
39593,40,1,79,1,0.02,1,0
39704,10,2,135,1,,1,0
40039,10,1,250,1,0.87,4,351
40453,20,2,250,4,,1,270
41348,10,2,250,2,,1,0
41513,20,2,80,3,,1,0
42580,10,1,70,1,0.02,2,0
42729,10,2,165,5,0.12,3,0
42882,50,1,70,3,,1,0
